make,model,year,color,mileage,price,fuel_type,transmission,engine_size,top_speed
Ford,Sonata,2011,Orange,59604,96636,Electric,Manual,4.6,200
Toyota,Civic,2008,Black,128039,70495,Diesel,Manual,1.9,121
Toyota,Camry,2013,Blue,39684,38231,Diesel,Automatic,5.4,175
Chevrolet,A4,2022,Yellow,178362,6743,Hybrid,Automatic,3.2,118
Audi,Golf,2015,Red,95577,24433,Electric,Automatic,2.7,101
Chevrolet,E-Class,2019,Silver,43518,18491,Gasoline,Manual,6.0,110
BMW,E-Class,2003,White,1977,5328,Electric,Manual,3.1,126
Toyota,Sonata,2020,White,112183,74934,Hybrid,Manual,3.0,123
Volkswagen,Civic,2006,Blue,180935,16612,Gasoline,Automatic,3.7,149
Toyota,Mustang,2005,Green,189954,69292,Hybrid,Automatic,3.4,168
BMW,3 Series,2006,Red,101926,74391,Electric,Automatic,5.9,121
Hyundai,Silverado,2012,Green,30211,18090,Gasoline,Manual,1.9,179
Toyota,Civic,2000,Yellow,108911,52477,Diesel,Manual,3.1,89
Chevrolet,Altima,2021,Purple,132062,83230,Hybrid,Manual,1.7,109
Toyota,E-Class,2020,White,61153,35464,Gasoline,Manual,5.3,193
Audi,3 Series,2019,Black,141123,50763,Diesel,Automatic,4.4,180
Honda,Sonata,2005,White,193340,93543,Gasoline,Manual,3.4,155
Nissan,Golf,2015,Purple,56880,63899,Gasoline,Manual,1.4,151
Chevrolet,Civic,2014,Blue,185143,77128,Diesel,Automatic,1.9,138
Nissan,Camry,2013,Orange,128793,14059,Electric,Manual,4.0,179
Toyota,Altima,2017,Yellow,103658,62248,Diesel,Automatic,4.0,160
Nissan,Camry,2010,Red,31931,96449,Hybrid,Automatic,1.1,102
BMW,E-Class,2021,Red,193697,24527,Hybrid,Automatic,1.8,82
Mercedes-Benz,Silverado,2000,Orange,120516,51337,Hybrid,Automatic,1.0,131
Nissan,Camry,2015,Green,95099,54755,Gasoline,Automatic,2.5,140
BMW,3 Series,2002,Orange,111917,7976,Gasoline,Manual,1.3,175
Hyundai,Mustang,2014,Purple,121181,61718,Hybrid,Automatic,5.2,97
Hyundai,Mustang,2003,Gray,84750,31109,Gasoline,Manual,5.7,117
Nissan,3 Series,2022,Yellow,81569,81214,Gasoline,Automatic,3.5,140
Hyundai,Mustang,2021,Purple,143321,45424,Hybrid,Automatic,5.4,141
Nissan,Sonata,2015,Black,72119,74015,Diesel,Automatic,1.9,152
Audi,E-Class,2000,Gray,36601,52065,Diesel,Manual,5.8,166
Honda,Sonata,2020,White,49183,12555,Gasoline,Manual,4.5,165
Hyundai,Golf,2022,Purple,195174,8729,Diesel,Manual,4.8,95
Chevrolet,Camry,2014,Green,138720,32661,Electric,Automatic,3.8,80
Honda,Golf,2004,Yellow,18663,11193,Gasoline,Automatic,5.3,158
Volkswagen,Sonata,2019,Green,84826,27120,Electric,Automatic,5.6,188
BMW,E-Class,2003,Blue,61220,20132,Diesel,Automatic,2.2,183
Hyundai,A4,2016,Green,95845,19028,Electric,Manual,2.8,197
Hyundai,Silverado,2022,Yellow,151812,11333,Hybrid,Automatic,4.8,119
Honda,Silverado,2016,Silver,37048,77462,Electric,Manual,5.3,173
Nissan,Sonata,2013,Red,158802,36081,Gasoline,Automatic,5.9,162
Volkswagen,Camry,2021,Gray,12437,38192,Gasoline,Automatic,2.8,163
Audi,Golf,2007,Red,72706,45439,Electric,Manual,4.0,143
BMW,Golf,2016,White,7038,78973,Electric,Automatic,3.4,94
Nissan,Camry,2013,Black,127701,94883,Diesel,Manual,4.1,138
Toyota,A4,2006,Black,134317,26991,Diesel,Manual,5.4,116
Volkswagen,Altima,2018,Purple,164756,80178,Diesel,Automatic,3.7,112
BMW,Mustang,2010,White,145452,51647,Gasoline,Manual,2.3,148
Ford,Civic,2010,Orange,51816,59543,Hybrid,Automatic,3.0,114
Volkswagen,Civic,2014,White,127939,88505,Diesel,Manual,1.7,88
Nissan,3 Series,2007,Gray,54407,61717,Diesel,Manual,2.6,139
Nissan,A4,2005,White,167351,13192,Gasoline,Automatic,2.3,187
Chevrolet,Sonata,2012,Silver,40475,37580,Diesel,Manual,4.7,195
Audi,Civic,2022,Orange,152530,37380,Gasoline,Automatic,4.0,123
Chevrolet,Silverado,2012,Yellow,188801,31207,Electric,Automatic,1.1,136
Nissan,E-Class,2000,Orange,107727,35276,Diesel,Automatic,3.4,122
Volkswagen,3 Series,2005,Orange,180570,24328,Diesel,Automatic,2.5,196
Mercedes-Benz,A4,2013,Silver,80613,23476,Hybrid,Automatic,1.5,194
Toyota,Golf,2006,Gray,18305,48010,Diesel,Automatic,1.6,124
Volkswagen,Mustang,2004,Blue,98139,52999,Gasoline,Automatic,1.4,111
Honda,E-Class,2015,White,181704,7787,Gasoline,Automatic,3.6,89
Toyota,3 Series,2004,Yellow,85964,84261,Diesel,Manual,6.0,174
Mercedes-Benz,Camry,2013,Orange,145887,11831,Hybrid,Manual,4.2,88
Mercedes-Benz,3 Series,2002,Silver,128618,71334,Diesel,Manual,2.6,105
Nissan,Mustang,2004,White,18216,36981,Diesel,Automatic,5.6,199
Honda,Sonata,2001,Orange,37596,83928,Hybrid,Manual,1.1,155
Audi,Silverado,2002,White,154,67771,Electric,Automatic,6.0,93
BMW,Golf,2004,Orange,11619,38644,Hybrid,Manual,2.7,140
Volkswagen,Camry,2019,Gray,81472,7196,Hybrid,Manual,2.5,172
Honda,Sonata,2019,Green,157025,42436,Diesel,Automatic,4.2,174
BMW,Mustang,2014,White,73162,34481,Gasoline,Manual,4.8,199
Nissan,Civic,2004,Orange,172823,71583,Diesel,Manual,5.7,176
Chevrolet,Altima,2010,Blue,163923,15132,Gasoline,Manual,5.6,112
Audi,3 Series,2013,White,84219,50820,Hybrid,Automatic,4.0,163
Hyundai,Civic,2011,Yellow,31139,38051,Hybrid,Automatic,2.0,184
Ford,E-Class,2003,Purple,2052,99830,Gasoline,Automatic,2.6,123
Audi,A4,2010,Black,8135,79893,Electric,Automatic,3.9,88
Audi,E-Class,2021,White,46088,17245,Electric,Manual,1.9,153
Volkswagen,Altima,2007,Orange,58910,89981,Gasoline,Manual,3.0,142
Ford,Camry,2000,Green,142084,51333,Gasoline,Manual,5.5,83
Volkswagen,Civic,2004,Yellow,149358,42819,Diesel,Manual,2.0,99
Ford,Civic,2008,Yellow,59294,38471,Hybrid,Manual,5.3,96
Nissan,A4,2022,White,12249,81317,Diesel,Manual,4.5,153
Nissan,Civic,2002,Black,119225,65264,Gasoline,Manual,5.7,114
Nissan,A4,2021,Silver,43714,18295,Gasoline,Manual,3.2,102
Audi,E-Class,2003,Silver,114515,65954,Gasoline,Automatic,4.3,184
Nissan,A4,2009,Gray,16026,9572,Diesel,Automatic,3.1,87
Nissan,Civic,2012,Green,121030,32847,Gasoline,Automatic,3.5,148
Nissan,Sonata,2021,Yellow,79551,14801,Hybrid,Manual,5.1,124
Volkswagen,Sonata,2004,Black,2127,63310,Gasoline,Manual,1.8,113
Mercedes-Benz,Sonata,2004,Black,165934,88829,Diesel,Automatic,5.9,187
Chevrolet,Golf,2016,Purple,10433,58396,Gasoline,Manual,5.0,145
Audi,Silverado,2012,Orange,41981,36956,Electric,Automatic,2.9,81
Hyundai,E-Class,2017,Green,27940,29594,Hybrid,Manual,4.5,110
Hyundai,Camry,2018,Red,70612,48327,Electric,Manual,2.8,146
Toyota,A4,2021,Red,129341,29443,Gasoline,Automatic,1.9,132
Nissan,Altima,2014,White,195026,18003,Gasoline,Automatic,4.1,95
Toyota,Silverado,2006,Blue,37122,97160,Hybrid,Automatic,4.5,172
Ford,Altima,2020,Gray,161116,44769,Hybrid,Automatic,3.0,145
Audi,Sonata,2015,Red,165868,89345,Diesel,Automatic,4.3,181
Volkswagen,A4,2017,Orange,2053,70200,Hybrid,Automatic,3.6,129
Toyota,A4,2011,Silver,47679,63657,Gasoline,Automatic,4.9,135
Nissan,Mustang,2003,Blue,30977,87252,Diesel,Manual,2.9,91
BMW,A4,2012,Black,156289,67899,Hybrid,Automatic,1.9,196
Hyundai,Altima,2009,White,93094,57548,Hybrid,Automatic,3.5,119
Nissan,Camry,2020,Orange,195410,47084,Gasoline,Manual,5.0,145
Volkswagen,A4,2015,Purple,40796,14562,Diesel,Automatic,5.6,183
Mercedes-Benz,Civic,2013,Silver,106038,50969,Gasoline,Manual,4.0,170
Toyota,Mustang,2016,Purple,113055,90259,Diesel,Automatic,1.1,112
Honda,Silverado,2007,Red,9975,57406,Hybrid,Automatic,4.8,133
Volkswagen,E-Class,2012,Silver,199675,24609,Hybrid,Automatic,4.9,144
Nissan,A4,2008,White,197586,95827,Electric,Manual,4.4,98
Chevrolet,Camry,2004,Green,110066,59989,Diesel,Manual,4.6,161
Toyota,Golf,2011,Gray,156069,66481,Diesel,Manual,5.6,159
Nissan,Camry,2006,Green,19628,72155,Hybrid,Automatic,3.5,84
Mercedes-Benz,E-Class,2003,Gray,52891,71072,Hybrid,Automatic,5.1,130
Nissan,Sonata,2013,Yellow,177764,38197,Diesel,Automatic,2.9,184
Toyota,Mustang,2015,Yellow,193996,89175,Diesel,Automatic,5.1,102
Audi,Altima,2010,Green,46025,91476,Electric,Automatic,3.2,137
Nissan,E-Class,2016,Gray,63129,32351,Hybrid,Automatic,4.6,195
Audi,3 Series,2010,Red,167744,38770,Hybrid,Manual,3.4,200
Mercedes-Benz,Silverado,2013,Purple,139106,76679,Electric,Manual,1.5,200
Toyota,Silverado,2015,White,130576,66819,Hybrid,Automatic,2.5,165
Volkswagen,Civic,2016,White,61251,85162,Gasoline,Automatic,1.7,180
Toyota,Mustang,2001,Gray,145276,16779,Gasoline,Manual,2.4,192
Toyota,A4,2012,Green,56,89689,Electric,Manual,3.5,141
Chevrolet,Mustang,2014,Gray,111183,90629,Electric,Automatic,3.9,191
Hyundai,Camry,2003,Gray,74720,75516,Diesel,Manual,1.5,155
BMW,Camry,2008,Silver,104718,27269,Diesel,Automatic,3.3,186
Mercedes-Benz,Sonata,2006,Green,63344,74179,Electric,Automatic,2.7,191
Honda,Silverado,2009,Blue,187898,28650,Diesel,Manual,1.8,160
BMW,Camry,2010,Green,170468,49602,Gasoline,Automatic,2.5,127
BMW,Civic,2016,White,79978,63077,Diesel,Manual,5.8,168
Volkswagen,Altima,2013,Black,84914,29752,Gasoline,Automatic,4.8,160
Toyota,3 Series,2007,Silver,152855,60248,Gasoline,Automatic,4.5,152
Volkswagen,Golf,2007,Black,41623,78436,Diesel,Manual,1.8,144
Chevrolet,Sonata,2003,Yellow,106085,22446,Diesel,Automatic,6.0,140
Audi,Civic,2022,Purple,114500,71230,Diesel,Manual,4.4,175
Audi,Sonata,2012,Silver,88385,51391,Diesel,Automatic,1.0,96
Nissan,Sonata,2021,White,186179,18317,Hybrid,Automatic,4.0,86
Mercedes-Benz,3 Series,2011,Blue,17463,18061,Diesel,Automatic,1.6,195
Mercedes-Benz,Civic,2018,Gray,42830,29783,Hybrid,Manual,3.7,80
Mercedes-Benz,3 Series,2010,White,193673,21807,Hybrid,Manual,3.6,136
Volkswagen,Golf,2015,Orange,46163,33067,Gasoline,Manual,3.0,162
Ford,Altima,2020,Blue,129279,62415,Diesel,Manual,4.4,178
Ford,Altima,2021,White,47575,15538,Diesel,Automatic,2.9,160
Hyundai,Civic,2007,Black,91489,76684,Diesel,Manual,3.9,146
Audi,Sonata,2015,Yellow,120164,91624,Hybrid,Manual,3.0,180
Toyota,Civic,2019,Gray,138068,46325,Diesel,Manual,1.5,101
BMW,Sonata,2012,Black,41492,18560,Gasoline,Automatic,3.2,159
Honda,Camry,2022,Orange,118907,8755,Hybrid,Manual,3.3,80
Nissan,Camry,2006,Purple,144941,90051,Electric,Automatic,3.4,134
Honda,Golf,2012,Yellow,55082,14196,Hybrid,Automatic,3.8,96
Audi,Civic,2005,Yellow,161854,64706,Gasoline,Automatic,4.2,180
Hyundai,A4,2003,Silver,52831,42886,Diesel,Automatic,1.4,101
Ford,A4,2011,Red,126420,22817,Diesel,Automatic,1.7,200
Hyundai,Silverado,2022,Red,88267,54842,Hybrid,Manual,5.7,126
Ford,Camry,2011,Gray,175120,69565,Diesel,Manual,4.2,84
Hyundai,Camry,2014,White,131933,44240,Hybrid,Automatic,4.9,160
Mercedes-Benz,Sonata,2007,Red,158991,77500,Electric,Manual,3.0,176
Mercedes-Benz,Camry,2008,Silver,27332,61432,Electric,Automatic,3.3,130
BMW,Silverado,2020,Orange,92867,45482,Diesel,Automatic,5.6,92
Nissan,3 Series,2022,Blue,45548,32648,Electric,Manual,4.5,94
Mercedes-Benz,3 Series,2022,Green,176294,70466,Gasoline,Automatic,5.4,99
BMW,Civic,2009,White,54567,11926,Hybrid,Manual,3.1,143
Hyundai,Altima,2013,Silver,48203,56170,Hybrid,Automatic,5.5,151
Nissan,Civic,2000,Blue,153663,94730,Diesel,Automatic,2.3,189
Hyundai,Altima,2000,White,128829,62550,Electric,Automatic,1.7,80
Volkswagen,Silverado,2006,Blue,106702,17991,Diesel,Manual,2.6,172
BMW,Civic,2000,Red,128684,8034,Gasoline,Automatic,4.1,148
Hyundai,Sonata,2018,Gray,194815,43452,Diesel,Automatic,3.8,130
Hyundai,Golf,2017,Blue,38661,60872,Diesel,Manual,2.0,188
Ford,Civic,2002,Silver,65866,27828,Gasoline,Automatic,2.7,89
Audi,Camry,2021,Purple,181211,89628,Diesel,Automatic,1.8,167
Nissan,Sonata,2004,Silver,20198,28855,Electric,Manual,5.6,101
Hyundai,Sonata,2003,Red,116722,35275,Gasoline,Manual,3.2,109
Mercedes-Benz,Sonata,2011,Gray,65437,54505,Diesel,Manual,2.1,159
Nissan,3 Series,2020,Green,25307,31479,Electric,Manual,3.2,111
Volkswagen,Camry,2007,Orange,105423,64628,Electric,Automatic,2.3,106
Audi,Mustang,2000,Yellow,98196,87544,Diesel,Manual,5.9,120
Volkswagen,A4,2020,Yellow,33749,76458,Gasoline,Manual,5.8,87
Chevrolet,Altima,2006,Blue,57260,43385,Hybrid,Manual,1.5,84
Audi,Camry,2002,Purple,182051,46130,Gasoline,Automatic,3.3,84
Ford,3 Series,2002,Purple,120424,81543,Electric,Automatic,1.9,89
Volkswagen,Camry,2011,Purple,103686,68418,Diesel,Manual,2.6,142
Hyundai,3 Series,2007,Black,127091,29915,Hybrid,Manual,1.9,101
Chevrolet,Camry,2002,Blue,56327,37655,Electric,Manual,4.5,92
Ford,3 Series,2000,Blue,155582,84083,Gasoline,Automatic,3.0,89
Hyundai,Sonata,2003,Purple,11751,78976,Electric,Automatic,5.7,152
Mercedes-Benz,Mustang,2015,Silver,57524,45496,Gasoline,Manual,4.4,154
Volkswagen,Civic,2010,Gray,4930,39134,Gasoline,Manual,2.2,103
BMW,Silverado,2010,Orange,31074,50794,Hybrid,Automatic,3.4,158
Audi,Sonata,2006,Blue,158388,50062,Hybrid,Automatic,3.4,159
Mercedes-Benz,Civic,2011,Orange,133574,87558,Hybrid,Automatic,4.0,88
Audi,Civic,2007,Orange,152026,78714,Electric,Manual,2.7,173
Audi,E-Class,2006,Purple,139101,61655,Hybrid,Manual,3.1,151
Mercedes-Benz,Mustang,2011,White,2910,59035,Gasoline,Automatic,5.0,183
BMW,Mustang,2001,Black,4350,23879,Gasoline,Automatic,5.8,92
Honda,Altima,2002,White,160403,32800,Hybrid,Automatic,2.9,161
Volkswagen,Civic,2002,Purple,199946,50809,Hybrid,Manual,4.9,91
Ford,Altima,2019,Blue,143006,60567,Hybrid,Manual,3.7,175
Ford,E-Class,2019,Yellow,7645,46629,Gasoline,Manual,3.2,197
Audi,Golf,2015,Orange,60737,35100,Diesel,Automatic,4.9,127
Ford,Sonata,2010,Green,169742,56347,Hybrid,Automatic,3.6,138
Mercedes-Benz,Silverado,2022,Purple,82739,74046,Hybrid,Manual,5.5,154
Mercedes-Benz,E-Class,2006,Orange,179127,20472,Diesel,Automatic,3.3,189
Audi,3 Series,2014,Red,175394,35332,Gasoline,Manual,3.3,110
BMW,Altima,2006,Orange,104981,53237,Electric,Automatic,2.4,176
Mercedes-Benz,Civic,2002,White,8035,73406,Gasoline,Automatic,4.0,189
Honda,Civic,2003,White,152528,24220,Electric,Automatic,2.1,150
Hyundai,Mustang,2011,White,1953,99705,Diesel,Manual,1.9,137
Ford,Golf,2012,Gray,19092,18362,Hybrid,Manual,2.6,116
Honda,Camry,2004,Purple,158726,19227,Gasoline,Automatic,3.5,83
Honda,Mustang,2000,Silver,83984,99142,Hybrid,Manual,1.6,184
Ford,E-Class,2015,White,190523,29287,Diesel,Automatic,4.5,184
Honda,Camry,2017,White,90159,56316,Gasoline,Manual,1.4,176
Honda,Altima,2003,Yellow,33739,12533,Diesel,Automatic,2.3,121
Chevrolet,Camry,2004,Purple,3127,67100,Electric,Manual,1.3,101
Hyundai,Mustang,2004,Purple,196505,58421,Electric,Automatic,1.4,197
Nissan,Sonata,2000,Black,56745,59274,Gasoline,Automatic,2.9,127
Ford,Mustang,2017,Green,8883,88828,Gasoline,Manual,1.1,106
Audi,Mustang,2001,Red,163278,80621,Hybrid,Manual,3.9,139
Mercedes-Benz,Camry,2009,Silver,25095,34591,Hybrid,Automatic,4.5,120
Chevrolet,E-Class,2009,Red,77592,95788,Diesel,Automatic,4.8,96
Ford,Silverado,2012,Purple,62401,24283,Electric,Manual,5.5,163
Hyundai,Altima,2008,Silver,4409,49742,Electric,Manual,3.1,191
Chevrolet,E-Class,2000,Orange,110361,57538,Diesel,Automatic,4.1,179
Chevrolet,Altima,2008,Purple,119765,95667,Gasoline,Automatic,2.7,111
Hyundai,Silverado,2008,Green,65133,88484,Gasoline,Automatic,1.6,191
Audi,3 Series,2018,White,12880,96361,Hybrid,Automatic,5.9,162
Mercedes-Benz,Mustang,2013,Orange,92949,28415,Gasoline,Manual,2.3,166
Audi,3 Series,2016,Blue,87949,49948,Gasoline,Manual,3.3,91
Mercedes-Benz,Altima,2002,Blue,70406,6219,Electric,Automatic,5.6,84
Ford,Golf,2022,Orange,52554,65020,Electric,Automatic,1.9,145
Toyota,E-Class,2014,Orange,104442,51134,Hybrid,Manual,4.1,103
Hyundai,Silverado,2022,White,87640,10513,Diesel,Manual,5.7,144
BMW,Civic,2007,Green,176757,42694,Hybrid,Automatic,5.9,159
Honda,Altima,2004,Silver,56421,51505,Gasoline,Automatic,1.6,193
Honda,Mustang,2019,Orange,108313,23711,Diesel,Automatic,3.3,137
Honda,Altima,2010,Green,41621,55677,Diesel,Manual,2.5,125
Honda,Mustang,2011,Gray,136740,35808,Hybrid,Manual,1.4,93
Mercedes-Benz,A4,2014,Red,194339,63742,Electric,Manual,4.3,187
BMW,Civic,2002,Green,163532,11662,Electric,Automatic,2.6,184
BMW,A4,2001,Black,25411,61914,Electric,Automatic,5.7,189
Chevrolet,Sonata,2011,Green,77209,25750,Diesel,Manual,5.6,158
Nissan,Golf,2014,Orange,178581,78638,Gasoline,Automatic,1.0,174
Chevrolet,Civic,2013,Purple,90496,12569,Electric,Manual,5.3,167
Hyundai,E-Class,2012,Gray,62602,11751,Gasoline,Manual,4.4,149
Honda,Sonata,2010,Yellow,136828,74999,Electric,Automatic,6.0,181
Volkswagen,E-Class,2016,Green,124234,22891,Hybrid,Manual,5.8,152
BMW,A4,2001,Red,171568,65214,Electric,Automatic,5.8,129
Nissan,3 Series,2019,Purple,66786,5212,Electric,Automatic,2.0,145
Volkswagen,Altima,2013,Black,37928,20678,Diesel,Manual,4.7,121
Hyundai,Sonata,2003,Blue,97762,96643,Electric,Manual,2.5,137
Honda,Camry,2020,Gray,65586,94219,Hybrid,Automatic,2.8,84
Honda,A4,2005,Yellow,132776,82266,Gasoline,Automatic,5.8,93
Chevrolet,Golf,2003,Purple,174469,58997,Diesel,Automatic,3.7,133
Audi,A4,2007,Green,89594,48385,Electric,Manual,4.0,105
Mercedes-Benz,E-Class,2018,Orange,190152,8523,Electric,Automatic,2.7,199
Hyundai,Camry,2003,Yellow,95839,72830,Diesel,Manual,3.3,179
Ford,Golf,2020,Black,184517,25468,Electric,Automatic,3.8,147
BMW,Silverado,2007,Gray,97438,91979,Electric,Automatic,3.2,194
Honda,Silverado,2012,Black,81912,16898,Electric,Manual,5.6,145
Ford,3 Series,2016,Silver,81544,65972,Gasoline,Manual,5.6,196
BMW,Silverado,2000,Blue,57499,70394,Gasoline,Automatic,1.2,145
Audi,Mustang,2007,Gray,147998,16314,Hybrid,Manual,5.5,164
Chevrolet,Civic,2016,Black,67256,63969,Electric,Automatic,1.9,183
Hyundai,Civic,2002,Purple,188843,66641,Electric,Manual,3.6,157
Hyundai,Altima,2001,Black,400,47245,Gasoline,Manual,1.5,184
Toyota,Altima,2000,Red,2751,16284,Gasoline,Automatic,5.2,163
Chevrolet,E-Class,2009,Silver,62499,7653,Gasoline,Automatic,4.2,166
BMW,E-Class,2006,Gray,93900,38110,Electric,Manual,3.1,181
Toyota,Silverado,2016,White,194467,99158,Hybrid,Automatic,6.0,123
Audi,Sonata,2007,Orange,140402,72041,Hybrid,Automatic,3.1,103
Honda,E-Class,2007,Orange,171296,56376,Diesel,Automatic,5.4,182
Nissan,Golf,2007,Green,24578,69230,Gasoline,Automatic,1.5,191
BMW,Altima,2003,Orange,67814,55442,Hybrid,Manual,5.1,151
Audi,Sonata,2013,Black,168324,47904,Hybrid,Manual,3.7,82
Chevrolet,Camry,2003,White,61007,28983,Gasoline,Manual,3.7,129
Honda,Golf,2018,Orange,96731,27160,Gasoline,Automatic,3.7,143
Honda,Civic,2016,Blue,141467,69266,Gasoline,Manual,4.2,189
